model,race_group,n_samples,tpr,fnr,fpr,tnr,predicted_positive_rate
logreg_balanced,AIAN,334,0.96875,0.03125,0.3741721854304636,0.6258278145695364,0.4311377245508982
random_forest_balanced,AIAN,334,0.84375,0.15625,0.3443708609271523,0.6556291390728477,0.39221556886227543
logreg_balanced,Asian,2190,0.9322033898305084,0.06779661016949153,0.3137065637065637,0.6862934362934363,0.3470319634703196
random_forest_balanced,Asian,2190,0.7711864406779662,0.2288135593220339,0.24034749034749034,0.7596525096525096,0.26894977168949774
logreg_balanced,Black,3700,0.9496021220159151,0.050397877984084884,0.45741799578693954,0.5425820042130605,0.5075675675675676
random_forest_balanced,Black,3700,0.843501326259947,0.15649867374005305,0.3915136924465844,0.6084863075534156,0.4375675675675676
logreg_balanced,Other/Multi,1185,0.9111111111111111,0.08888888888888889,0.2850877192982456,0.7149122807017544,0.30886075949367087
random_forest_balanced,Other/Multi,1185,0.8666666666666667,0.13333333333333333,0.24298245614035088,0.7570175438596491,0.26666666666666666
logreg_balanced,White,26597,0.9506680369989723,0.04933196300102775,0.5381526104417671,0.46184738955823296,0.5683347745986389
random_forest_balanced,White,26597,0.8525179856115108,0.1474820143884892,0.45125958378970427,0.5487404162102957,0.48061811482498024
